.model,date,transformed_KWH,.mean
model,2016 Mar,"N(6.2, 0.00011)",6.174914328425775
model,2016 Apr,"N(6.2, 0.00011)",6.16598029813363
model,2016 May,"N(6.2, 0.00011)",6.164645180943513
model,2016 Jun,"N(6.2, 0.00011)",6.195890553869734
model,2016 Jul,"N(6.2, 0.00011)",6.205641132293192
model,2016 Aug,"N(6.2, 0.00011)",6.212254532490766
model,2016 Sep,"N(6.2, 0.00011)",6.19680647811358
model,2016 Oct,"N(6.2, 0.00011)",6.162099568129023
model,2016 Nov,"N(6.2, 0.00011)",6.164399846232353
model,2016 Dec,"N(6.2, 0.00011)",6.184436268660685
model,2017 Jan,"N(6.2, 0.00014)",6.214915129594474
model,2017 Feb,"N(6.2, 0.00014)",6.199811629308561
model,2017 Mar,"N(6.2, 0.00014)",6.176237008250979
model,2017 Apr,"N(6.2, 0.00015)",6.166184124778031
model,2017 May,"N(6.2, 0.00015)",6.16552164461691
model,2017 Jun,"N(6.2, 0.00015)",6.197956312630194
model,2017 Jul,"N(6.2, 0.00015)",6.209800469129796
model,2017 Aug,"N(6.2, 0.00015)",6.215919626602507
model,2017 Sep,"N(6.2, 0.00015)",6.19923969941776
model,2017 Oct,"N(6.2, 0.00015)",6.163391382338877
model,2017 Nov,"N(6.2, 0.00015)",6.166879729332817
model,2017 Dec,"N(6.2, 0.00015)",6.18735453838952
model,2018 Jan,"N(6.2, 0.00016)",6.2175779416732455
model,2018 Feb,"N(6.2, 0.00016)",6.199850443401766
model,2018 Mar,"N(6.2, 0.00016)",6.177719733244684
model,2018 Apr,"N(6.2, 0.00016)",6.167756217839185
model,2018 May,"N(6.2, 0.00016)",6.1673692266501625
model,2018 Jun,"N(6.2, 0.00016)",6.1991220481071165
model,2018 Jul,"N(6.2, 0.00016)",6.209796558152696
model,2018 Aug,"N(6.2, 0.00016)",6.216374461685577
model,2018 Sep,"N(6.2, 0.00016)",6.199395874854554
model,2018 Oct,"N(6.2, 0.00016)",6.1647978273683455
model,2018 Nov,"N(6.2, 0.00016)",6.1675833835528096
