ATM,.model,DATE,Cash,.mean
ATM1,ARIMA(Cash),2010-05-01,"N(87, 556)",87.16789264692353
ATM1,ARIMA(Cash),2010-05-02,"N(104, 578)",104.0559109447159
ATM1,ARIMA(Cash),2010-05-03,"N(73, 578)",73.14947229656512
ATM1,ARIMA(Cash),2010-05-04,"N(8, 578)",8.03203623559763
ATM1,ARIMA(Cash),2010-05-05,"N(100, 578)",100.00661948780089
ATM1,ARIMA(Cash),2010-05-06,"N(81, 578)",80.85748278013045
ATM1,ARIMA(Cash),2010-05-07,"N(87, 578)",86.6697420655023
ATM1,ARIMA(Cash),2010-05-08,"N(88, 675)",87.95845182579352
ATM1,ARIMA(Cash),2010-05-09,"N(103, 679)",102.74701939834928
ATM1,ARIMA(Cash),2010-05-10,"N(73, 679)",73.39075059929695
ATM1,ARIMA(Cash),2010-05-11,"N(8.6, 679)",8.5886126417575
ATM1,ARIMA(Cash),2010-05-12,"N(101, 679)",100.65314786560113
ATM1,ARIMA(Cash),2010-05-13,"N(80, 679)",80.39321186648722
ATM1,ARIMA(Cash),2010-05-14,"N(87, 679)",86.92729241334064
ATM1,ARIMA(Cash),2010-05-15,"N(88, 735)",88.03044258912584
ATM1,ARIMA(Cash),2010-05-16,"N(103, 737)",102.74701939834928
ATM1,ARIMA(Cash),2010-05-17,"N(73, 737)",73.39075059929695
ATM1,ARIMA(Cash),2010-05-18,"N(8.6, 737)",8.5886126417575
ATM1,ARIMA(Cash),2010-05-19,"N(101, 737)",100.65314786560113
ATM1,ARIMA(Cash),2010-05-20,"N(80, 737)",80.39321186648722
ATM1,ARIMA(Cash),2010-05-21,"N(87, 737)",86.92729241334064
ATM1,ARIMA(Cash),2010-05-22,"N(88, 792)",88.03044258912584
ATM1,ARIMA(Cash),2010-05-23,"N(103, 794)",102.74701939834928
ATM1,ARIMA(Cash),2010-05-24,"N(73, 794)",73.39075059929695
ATM1,ARIMA(Cash),2010-05-25,"N(8.6, 794)",8.5886126417575
ATM1,ARIMA(Cash),2010-05-26,"N(101, 794)",100.65314786560113
ATM1,ARIMA(Cash),2010-05-27,"N(80, 794)",80.39321186648722
ATM1,ARIMA(Cash),2010-05-28,"N(87, 794)",86.92729241334064
ATM1,ARIMA(Cash),2010-05-29,"N(88, 850)",88.03044258912584
ATM1,ARIMA(Cash),2010-05-30,"N(103, 852)",102.74701939834928
ATM1,ARIMA(Cash),2010-05-31,"N(73, 852)",73.39075059929695
